Monitoring htmz process (PID: 47752)
Time,RSS(MB),VSZ(MB),CPU%
14:54:03,76.8,401743.6,93.2
14:54:08,76.7,401743.6,95.7
14:54:13,76.7,401743.6,94.9
14:54:18,76.7,401743.6,92.0
14:54:23,76.7,401743.6,102.4
14:54:28,76.7,401743.6,103.9
14:54:33,76.7,401743.6,91.7
14:54:38,76.6,401743.6,93.3
14:54:43,76.8,401743.6,91.3
14:54:48,76.3,401743.6,72.6
14:54:53,76.6,401743.6,93.8
14:54:58,76.6,401743.6,98.3
14:55:03,76.7,401743.6,94.4
14:55:08,76.7,401743.6,77.7
14:55:13,76.7,401743.6,103.4
14:55:18,76.6,401743.6,102.0
14:55:23,76.6,401743.6,99.2
14:55:28,76.6,401743.6,107.7
14:55:33,76.7,401743.6,90.3
14:55:38,76.8,401743.8,100.2
14:55:43,76.7,401743.8,100.2
14:55:48,76.6,401743.8,94.1
14:55:53,76.6,401743.8,98.6
14:55:58,76.6,401743.8,103.3
14:56:03,76.4,401743.8,100.7
14:56:08,76.5,401743.8,90.5
14:56:13,76.6,401743.8,99.3
14:56:18,76.6,401743.8,90.9
14:56:23,76.5,401743.8,103.2
14:56:28,76.6,401743.8,92.6
14:56:33,76.6,401743.8,78.7
14:56:39,76.5,401743.8,101.4
14:56:44,76.6,401743.8,101.7
14:56:49,76.6,401743.8,97.5
14:56:54,76.6,401743.8,101.5
14:56:59,76.6,401743.8,104.8
14:57:04,76.4,401743.8,97.1
14:57:09,76.5,401743.8,95.2
14:57:14,76.3,401743.8,77.6
14:57:19,76.6,401743.8,87.7
14:57:24,76.5,401743.8,101.9
14:57:29,76.5,401743.8,96.4
14:57:34,76.7,401743.8,90.4
14:57:39,76.5,401743.8,99.8
14:57:44,76.6,401743.8,98.7
14:57:49,76.5,401743.8,101.3
14:57:54,76.5,401743.8,104.8
14:57:59,76.4,401743.8,81.2
14:58:04,76.5,401743.8,100.5
14:58:09,76.6,401743.8,98.7
14:58:14,76.5,401743.8,99.2
14:58:19,76.5,401743.8,100.0
14:58:24,76.5,401743.8,103.2
14:58:29,76.4,401743.8,96.3
14:58:34,76.6,401743.8,94.1
14:58:39,76.6,401743.8,102.0
14:58:44,76.6,401743.8,102.7
14:58:49,76.5,401743.8,93.6
14:58:54,76.5,401743.8,107.1
14:58:59,76.5,401743.8,97.8
14:59:04,76.2,401743.8,100.7
14:59:09,76.6,401743.8,95.1
14:59:14,76.4,401743.8,100.4
14:59:19,76.5,401743.8,103.2
14:59:24,75.4,401743.8,99.4
14:59:29,76.7,401743.8,103.0
14:59:34,76.4,401743.8,91.2
14:59:39,76.7,401743.8,97.3
14:59:44,76.2,401743.8,106.3
14:59:49,76.5,401743.8,98.7
14:59:54,76.6,401743.8,107.9
14:59:59,76.5,401743.8,107.7
15:00:04,76.5,401743.8,96.1
15:00:09,76.6,401743.8,105.1
15:00:14,76.6,401743.8,100.8
15:00:19,76.6,401743.8,106.0
15:00:24,76.4,401743.8,92.9
15:00:29,76.6,401743.8,91.3
15:00:34,76.4,401743.8,92.2
15:00:39,76.4,401743.8,97.5
15:00:44,76.5,401743.8,93.6
15:00:49,76.6,401743.8,94.8
15:00:54,76.7,401743.8,94.3
15:00:59,76.6,401743.8,96.1
15:01:04,76.5,401743.8,105.9
15:01:09,76.7,401743.8,85.3
15:01:14,76.7,401743.8,95.2
15:01:19,76.4,401743.8,79.7
15:01:24,76.5,401743.8,107.1
15:01:29,76.5,401743.8,92.7
15:01:34,76.7,401743.8,103.6
15:01:39,76.6,401743.8,80.2
15:01:44,76.6,401743.8,95.3
15:01:49,76.7,401743.8,92.5
15:01:54,76.5,401743.8,83.1
15:01:59,76.5,401743.8,99.4
15:02:04,76.5,401743.8,97.2
15:02:09,76.6,401743.8,99.3
15:02:15,76.6,401743.8,96.7
15:02:20,66.2,401743.8,36.8
15:02:25,64.1,401743.8,0.0
15:02:30,56.4,401743.8,0.0
15:02:35,24.9,401743.8,0.0
15:02:40,18.1,401743.8,0.0
15:02:45,10.7,401654.4,8.2
15:02:50,10.7,401654.4,0.0
15:02:55,10.7,401654.4,0.0
15:03:00,10.7,401654.4,0.0
15:03:05,10.7,401654.4,0.0
15:03:10,10.7,401654.4,0.0
15:03:15,10.3,401652.4,0.0
15:03:20,10.3,401652.4,0.0
15:03:25,10.3,401652.4,0.0
15:03:30,10.3,401652.4,0.0
15:03:35,10.3,401652.4,0.0
15:03:40,10.3,401652.4,0.0
15:03:45,10.3,401652.4,0.0
15:03:50,10.3,401652.4,0.0
15:03:55,10.3,401652.4,0.0
15:04:00,10.3,401652.4,0.0
15:04:05,10.3,401652.4,0.0
15:04:10,10.3,401652.4,0.0
15:04:15,10.3,401652.4,0.0
15:04:20,10.3,401652.4,0.0
15:04:25,10.3,401652.4,0.0
15:04:30,10.3,401652.4,0.0
15:04:35,10.3,401652.4,0.0
15:04:40,10.3,401652.4,0.0
15:04:45,10.3,401652.4,0.0
15:04:50,10.3,401652.4,0.0
15:04:55,10.3,401652.4,0.0
15:05:00,10.3,401652.4,0.0
15:05:05,10.3,401652.4,0.0
15:05:10,10.3,401652.4,0.0
15:05:15,10.3,401652.4,0.0
15:05:20,10.3,401652.4,0.0
15:05:25,10.3,401652.4,0.0
15:05:30,10.3,401652.4,0.0
15:05:35,10.3,401652.4,0.0
